name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,m2_slots,sata_ports
Gigabyte B650 GAMING X AX V2,184.49,AM5,ATX,192,4,Gray / Black,DDR5,2,4
Asus ROG STRIX X870-A GAMING WIFI,318.99,AM5,ATX,192,4,White,DDR5,2,4
ASRock A620I LIGHTNING WIFI,159.99,AM5,Mini ITX,96,2,Black,DDR5,2,4
Asus TUF GAMING B550-PLUS WIFI II,148.99,AM4,ATX,128,4,Black / Gray,DDR4,2,4
Asus TUF GAMING B650-E WIFI,199.99,AM5,ATX,192,4,Black / Orange,DDR5,2,4
Gigabyte Z790 EAGLE AX,169.99,LGA1700,ATX,192,4,Gray / Black,DDR4,2,4
MSI B450M-A PRO MAX II,97.09,AM4,Micro ATX,64,2,Black,DDR4,2,4
MSI PRO B650M-P,149.99,AM5,Micro ATX,192,4,Black / Silver,DDR5,2,4
ASRock B450M/ac R2.0,74.99,AM4,Micro ATX,128,4,Black / Silver,DDR4,2,4
Asus TUF GAMING B850M-PLUS WIFI,219.99,AM5,Micro ATX,192,4,Black,DDR5,2,4
ASRock B450M-HDV R4.0,69.98,AM4,Micro ATX,64,2,Black / White,DDR4,2,4
Gigabyte B850 AORUS ELITE WIFI7 ICE,239.99,AM5,ATX,256,4,White / Silver,DDR5,2,4
MSI PRO B760M-P DDR4,99.99,LGA1700,Micro ATX,128,4,Black,DDR4,2,4
Asus ROG STRIX B550-F GAMING WIFI II,169.99,AM4,ATX,128,4,Black / Red,DDR4,2,4
Gigabyte B850M GAMING X WIFI6E,159.99,AM5,Micro ATX,256,4,Black,DDR5,2,4
Asus ROG CROSSHAIR X870E HERO,649.99,AM5,ATX,192,4,Black,DDR5,2,4
Gigabyte A520I AC,99.99,AM4,Mini ITX,64,2,Black,DDR4,2,4
Gigabyte B550M AORUS ELITE AX,149.99,AM4,Micro ATX,128,4,Black / Silver,DDR4,2,4
ASRock B850M Pro-A WiFi,140.98,AM5,Micro ATX,256,4,Black,DDR5,2,4
ASRock B650M PG Lightning Wifi,191.66,AM5,Micro ATX,256,4,Silver / Black,DDR5,2,4
MSI MPG B550 GAMING PLUS,104.99,AM4,ATX,128,4,Black,DDR4,2,4
MSI A520M-A PRO,67.62,AM4,Micro ATX,64,2,Black,DDR4,2,4
MSI PRO B650M-A WIFI,145.99,AM5,Micro ATX,192,4,Black,DDR5,2,4
Asus ROG STRIX B650E-F GAMING WIFI,254.25,AM5,ATX,192,4,Black,DDR5,2,4
Asus ROG STRIX B850-A GAMING WIFI,239.0,AM5,ATX,192,4,White,DDR5,2,4
ASRock B550M Pro4,99.99,AM4,Micro ATX,128,4,Silver / Black,DDR4,2,4
MSI MAG X670E TOMAHAWK WIFI,248.71,AM5,ATX,192,4,Black,DDR5,2,4
Asus TUF GAMING B650M-E WIFI,229.99,AM5,Micro ATX,192,4,Black,DDR5,2,4
Asus ROG STRIX B850-I GAMING WIFI,299.99,AM5,Mini ITX,96,2,Black,DDR5,2,4
Asus ROG STRIX B650E-I GAMING WIFI,219.95,AM5,Mini ITX,96,2,Black,DDR5,2,4
MSI MPG X870E CARBON WIFI,499.99,AM5,ATX,256,4,Black,DDR5,2,4
Gigabyte B850 GAMING WIFI6,179.99,AM5,ATX,256,4,Black / Gray,DDR5,2,4
MSI B850 GAMING PLUS WIFI,199.99,AM5,ATX,256,4,Silver / Black,DDR5,2,4
Asus TUF GAMING X870-PLUS WIFI,266.99,AM5,ATX,192,4,Black,DDR5,2,4
Gigabyte Z790 AORUS ELITE AX,184.99,LGA1700,ATX,192,4,Black,DDR4,2,4
MSI B550-A PRO,125.99,AM4,ATX,128,4,Black / Silver,DDR4,2,4
Asus ROG CROSSHAIR X870E EXTREME,999.99,AM5,EATX,256,4,Black / Silver,DDR5,2,4
ASRock B850M Pro RS WiFi,149.99,AM5,Micro ATX,256,4,Silver / Black,DDR5,2,4
Asus TUF GAMING Z790-PLUS WIFI,219.99,LGA1700,ATX,192,4,Black / Gray,DDR4,2,4
Gigabyte X870E AORUS PRO ICE,329.99,AM5,ATX,256,4,White,DDR5,2,4
Gigabyte B650 AORUS ELITE AX,185.99,AM5,ATX,192,4,Black / Silver,DDR5,2,4
Gigabyte A620I AX,138.0,AM5,Mini ITX,96,2,Black / Gray,DDR5,2,4
Gigabyte X870I AORUS PRO ICE,284.99,AM5,Mini ITX,128,2,White,DDR5,2,4
MSI B650M GAMING PLUS WIFI,219.51,AM5,Micro ATX,192,4,Silver / Black,DDR5,2,4
Asus ROG STRIX B850-F GAMING WIFI,269.18,AM5,ATX,192,4,Black,DDR5,2,4
ASRock X870 Pro RS,179.99,AM5,ATX,256,4,White,DDR5,2,4
MSI PRO A620M-E,154.9,AM5,Micro ATX,96,2,Black,DDR5,2,4
Asus TUF GAMING B650E-PLUS WIFI,189.99,AM5,ATX,256,4,Black / Silver,DDR5,2,4
