name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
NZXT H510,124.99,ATX Mid Tower,Black / Red,Tempered Glass,41.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec Performance 1 M,194.99,Mini ITX Desktop,Black,Mesh,19.3,Mini ITX,300,140,SFX
Lian Li LANCOOL 215,124.99,ATX Mid Tower,White,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
GameMax Infinity,124.99,ATX Mid Tower,Black,Tempered Glass,45.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair Carbide Series 175R RGB,124.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair iCUE 5000X RGB,214.99,ATX Mid Tower,White / Gray,Tempered Glass,66.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks Eclipse P400A Digital,124.99,ATX Mid Tower,Black,Tempered Glass,45.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cougar MX360 RGB,124.99,ATX Mid Tower,Black,Tempered Glass,36.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Tecware Forge M,124.99,MicroATX Mini Tower,Black,Tempered Glass,34.4,"Micro ATX, Mini ITX",330,155,ATX
Mars Gaming MCV4,124.99,ATX Mid Tower,White,Tempered Glass,50.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MPG Sekira 500G,1050.0,ATX Mid Tower,Black,Tempered Glass,67.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 275R Airflow,124.99,ATX Mid Tower,White / Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Chieftec APEX AIR,124.99,ATX Mid Tower,Black,Tempered Glass,52.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
HYTE Persona 3 Reload Y70,259.99,ATX Mid Tower,Black / Multicolor,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Meshify 3,159.99,ATX Mid Tower,Black,Tinted Tempered Glass,50.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
SSUPD Xhuttle,120.0,ATX Mid Tower,White,Tempered Glass,50.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
be quiet! Dark Base Pro 901,299.89,ATX Full Tower,White,Tempered Glass,94.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
DIYPC ARGB-N1,124.99,MicroATX Mid Tower,Black,Tempered Glass,44.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec CX700 RGB ELITE,124.99,ATX Mid Tower,Black,Tempered Glass,44.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake Ceres 330 ARGB,68.99,ATX Mid Tower,Black,Tempered Glass,53.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li LANCOOL 205 Mesh C,117.99,ATX Mid Tower,White,Tempered Glass,41.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
GAMDIAS TALOS E2 ELITE,124.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H710,124.99,ATX Mid Tower,White,Tempered Glass,58.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
be quiet! Pure Base 600,119.9,ATX Mid Tower,Black,Tempered Glass,50.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech KING 95 PRO,169.0,ATX Mid Tower,Blue / Black,Tempered Glass,63.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master HAF 700,299.99,ATX Full Tower,Black,Tempered Glass,83.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MPG VELOX 100P AIRFLOW,292.33,ATX Mid Tower,Black,Tempered Glass,53.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li Lancool II Mesh,124.99,ATX Mid Tower,Black,Tempered Glass,54.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake The Tower 600,189.99,ATX Mid Tower,Yellow,Tempered Glass,66.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Asus TUF Gaming GT501,169.99,ATX Mid Tower,White / Black,Tempered Glass,75.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks Eclipse P500A D-RGB,124.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
