name,price,capacity,price_per_gb,type,cache,form_factor,interface
Seagate BarraCuda,38.22,1000.0,0.038,HDD,64.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,56.99,500.0,0.114,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M480 PRO,109.67,1000.0,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,14.99,128.0,0.117,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,103.99,2000.0,0.052,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA PLUS G3,83.78,1000.0,0.084,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power P34A60,36.97,512.0,0.072,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,379.99,4000.0,0.095,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Silicon Power A60,95.97,2000.0,0.048,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,67.0,2000.0,0.034,HDD,64.0,3.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,109.99,1000.0,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,57.99,960.0,0.06,SSD,128.0,2.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,69.79,250.0,0.279,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,44.99,500.0,0.09,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO XT,909.99,8000.0,0.114,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus,159.99,1000.0,0.16,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot P400 Lite,104.99,2000.0,0.052,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,99.99,4000.0,0.025,HDD,256.0,3.5,SATA 6.0 Gb/s
Crucial MX500,149.99,1000.0,0.15,SSD,1024.0,2.5,SATA 6.0 Gb/s
Corsair MP700 PRO,219.99,2000.0,0.11,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Crucial T700,219.99,2000.0,0.11,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
MSI SPATIUM M482,109.99,2000.0,0.055,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
PNY CS1030,91.99,2000.0,0.046,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_BLACK SN8100,169.99,1000.0,0.17,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP T-FORCE G70 PRO Graphene,122.99,2000.0,0.061,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
